filename;num_live_knots;max_width_live_knots;num_dead_knots;max_dia_dead_knots;max_width_dead_knots;max_width_knot_collection;num_resin;num_resin_bigger_20;num_resin_bigger_80;overgrown_bool;overgrown_area;marrow_bool;blue_stain_area;rot_bool;rot_area;crack_max_dia
2024_10_04-B11.26.1.bmp;1;0.41;;;;;;;;;;;0;;;
2024_10_04-F1.24.1.bmp;;;1;26.67;0.18;0.18;;;;1;65.97;;0.45;1;638.04;
2024_10_03-7.14.1.bmp;;;;;;;;;;;;;0;;;
2024_08_29-I15.6.1.bmp;1;0.29;;;;0.29;;;;;;;;1;9.42;
2024_08_27-I8.13.2.bmp;2;0.25;;;;0.32;1;0;0;;;;;1;4913.19;
2024_08_27-S12.2.1.bmp;;;;;;;;;;;;;0;;;
2024_08_27-S11.5.1.bmp;5;0.09;;;;0.36;;;;;;;0;;;
2024_10_03-8.23.2.bmp;1;0.24;;;;0.24;;;;;;;;;;
2024_08_29-I12.6.1.bmp;1;0.12;1;10.34;0.08;0.21;;;;1;284.64;;;1;16.16;
2024_10_04-B2.18.2.bmp;1;0.15;2;19.4;0.17;0.47;;;;;;;0.08;;;
2024_10_04-B11.17.2.bmp;;;;;;;;;;;;;0.08;;;
2024_10_03-20.9.1.bmp;1;0.64;;;;;1;1;0;;;;0;;;
2024_08_29-I12.13.1.bmp;3;0.18;;;;0.49;;;;;;;0;;;
2024_11_15-I23.22.1.bmp;;;;;;;;;;;;;;;;
2024_10_03-5.40.1.bmp;;;;;;;;;;1;45.92;;0.01;;;
2024_10_03-9.2.1.bmp;1;0.3;;;;;1;1;0;1;12.92;;;1;23.7;
2024_10_03-16.18.2.bmp;1;0.19;2;8.21;0.06;0.31;;;;;;;;;;
2024_10_04-B5.39.1.bmp;1;0.23;;;;;;;;;;;0.04;1;165.37;
2024_10_04-F2.35.1.bmp;1;0.39;;;;;1;1;0;;;;0.89;1;1009.83;
