"sample_name","Quality","Quality_Factor","Density","MOE","MOR","PrePD","PostPD","max_knot","knot_decisive"
"B7.6",3,"3",398.924,5.897683391,40.19525646,3.039993286,0,23,1
"B7.7",3,"3",417.659,7.491772227,55.10985841,5.43999958,0,30,NA
"B7.8",2,"2",391.907,8.258801653,49.23875881,4.700005054,5.660002708,16,1
"B7.9",3,"3",417.332,8.068255757,61.15929274,9.200025558,3.835353851,0,1
"B8.1",3,"3",476.214,7.776012574,55.03565623,7.279987812,0.020003319,60,1
"B8.10",3,"3",438.326,7.560283667,45.07351021,5.879983902,1.520014763,37,1
"B8.11",3,"3",444.092,6.839818088,42.3957846,2.799972534,1.700009346,13,NA
"B8.12",3,"3",494.012,11.85406885,82.43916464,11.56000328,5.386539459,25,1
"B8.13",3,"3",393.315,6.821787293,59.9788314,12.68002653,0,5,1
"B8.14",2,"2",448.881,9.771657715,72.32663092,12.0999999,2.17999649,16,NA
"B8.15",3,"3",494.511,11.79919255,57.30558902,10.19535065,4.102018356,30,1
"B8.16",3,"3",432.691,6.67058437,48.89949106,4.380021572,0,39,NA
"B8.17",2,"2",440.743,8.428575829,61.49511524,9.140003681,0,29,1
"B8.18",2,"2",415.863,8.732843209,65.71198911,13.87999249,2.947364807,0,NA
"B8.19",2,"2",426.536,8.895030749,64.87225744,8.400007248,0.339986801,10,1
"B8.2",2,"2",438.189,8.707918823,56.25120852,5.36000967,1.260005951,29,1
"B8.20",2,"2",435.185,8.674386283,51.17315174,2.99998951,3.024169922,29,1
"B8.21",2,"2",426.859,8.530758281,56.55298777,4.819991112,4.349994659,0,NA
"B8.22",2,"2",435.513,8.731568828,58.70082589,3.920007229,0.019996643,29,1
"B8.23",3,"3",480.428,5.891467217,40.37071852,3.240002155,0,55,1
"B8.24",1,"1",443.003,10.55482035,77.01706938,14.28000021,3.814002991,0,NA
"B8.25",2,"2",453.281,8.63476445,64.9674333,7.080006123,5.423895836,23,1
"B8.26",2,"2",417.357,8.694095807,66.02373866,14.0800066,0,0,NA
"B8.27",3,"3",444.278,6.560325939,33.54497548,6.379996777,0.079987526,41,1
"B8.28",2,"2",424.082,8.883018516,52.79734476,4.559998035,2.46000576,27,1
"B8.29",1,"1",443.114,10.74218553,76.84203371,12.85999632,0.548013687,0,NA
"B8.3",1,"1",423.345,9.351947207,64.71755707,8.820007324,2.799987793,8,NA
"B8.30",2,"2",420.659,9.586417494,70.46134781,12.31999302,1.160011292,0,1
"B8.31",2,"2",454.628,8.544809639,65.20703222,7.540016174,1.699971199,28,1
"B8.32",2,"2",431.302,7.973673947,58.76502854,6.260002613,2.559999466,24,1
"B8.33",2,"2",424.249,9.520505114,70.08305654,15.17999125,0.040016174,0,NA
"B8.34",2,"2",416.279,9.284530868,68.04402426,13.67999744,0.700000763,0,NA
"B8.35",3,"3",421.823,8.062967763,46.62495809,2.9599967,0.280004501,0,1
"B8.36",3,"3",447.383,5.965200926,33.06376505,6.400001049,3.580001831,33,1
"B8.37",2,"2",441.103,10.29384664,68.41634115,9.820019245,7.078643799,14,1
"B8.38",2,"2",436.078,8.333569669,57.76816484,4.539978981,0.440002441,21,1
"B8.39",2,"2",422.638,8.701670567,62.64985654,11.5799861,0,16,1
